1,90,70,44,2,24,48
1,180,133,62,3,24,72
1,6,165,59,2,8,24
1,90,171,33,3,48,72
1,30,93,69,3,24,72
1,90,64,26,2,8,24
1,30,133,26,2,24,48
1,6,34,56,2,8,24
1,6,80,41,4,48,72
1,180,58,56,2,8,24
1,90,144,49,1,0,24
1,90,74,68,3,24,72
1,30,31,20,2,8,24
1,360,188,59,2,8,24
1,180,137,40,2,24,48
1,90,91,22,2,8,24
1,360,199,72,2,8,24
1,90,139,70,2,8,24
1,30,144,11,1,0,24
1,90,40,75,4,48,96
1,360,150,44,2,8,24
2,180,188,29,2,8,24
2,30,48,24,1,0,24
2,90,184,48,2,24,48
2,90,18,23,2,24,48
2,30,188,11,2,8,24
2,90,197,47,4,48,72
2,180,90,47,2,24,48
2,6,45,20,4,48,72
2,30,97,57,3,24,72
2,180,8,23,2,8,24
2,30,35,18,3,48,72
2,180,167,46,2,8,24
3,180,198,65,4,48,96
3,180,129,52,2,24,48
3,30,77,62,2,8,24
3,360,17,24,2,8,24
3,30,75,46,2,24,48
3,180,33,30,2,8,24
3,180,63,47,2,8,24
3,180,51,11,2,8,24
3,30,126,36,2,8,24
4,30,79,69,2,8,24
4,30,125,43,2,24,48
4,90,81,74,2,8,24
4,30,117,75,2,8,24
4,180,180,18,2,8,24
4,6,108,50,3,48,72
4,360,161,39,2,24,48
4,360,65,20,2,24,48
4,90,122,9,2,8,24
4,90,192,22,2,8,24
4,180,133,45,2,24,48
4,360,80,31,4,48,72
4,90,40,64,4,48,96
4,90,199,45,2,8,24
4,90,37,70,2,8,24
5,6,90,6,3,24,72
5,180,97,69,3,24,72
5,30,23,71,4,48,96
5,30,68,30,2,24,48
5,90,144,64,1,0,24
5,90,200,75,2,8,24
5,30,31,39,2,8,24
5,90,17,44,2,8,24
5,90,142,75,4,48,96
5,30,133,26,2,24,48
5,90,13,15,3,48,96
5,90,198,68,4,48,96
5,30,24,39,3,48,72
5,30,26,41,2,24,48
5,30,80,10,4,48,96
5,360,32,41,2,24,48
6,30,14,23,2,8,24
7,180,43,70,2,8,24
7,30,114,74,2,8,24
7,30,97,68,3,24,72
7,90,94,26,3,48,72
7,180,87,44,2,24,48
7,90,42,20,2,24,48
7,180,87,20,2,24,48
7,360,57,19,2,8,24
7,30,117,26,2,8,24
7,180,172,73,2,8,24
7,360,104,72,3,24,72
7,360,187,46,2,8,24
7,180,49,39,2,24,48
7,90,22,57,3,24,72
7,90,62,40,2,8,24
7,90,178,49,2,8,24
7,6,177,56,2,8,24
7,90,119,46,4,48,72
8,30,175,35,2,24,48
8,180,175,74,3,24,72
8,30,106,31,1,0,24
8,180,132,13,4,48,96
8,30,159,14,3,24,72
8,30,102,39,2,24,48
8,6,143,47,2,24,48
8,360,122,33,2,8,24
8,6,60,72,3,24,72
8,180,111,59,1,0,24
8,30,118,27,3,48,72
8,90,18,61,3,24,72
8,90,110,59,3,24,72
8,6,122,73,2,8,24
8,180,60,64,3,24,72
8,90,135,68,2,8,24
8,90,136,52,2,8,24
9,180,155,44,1,0,24
9,360,65,55,3,24,72
9,30,88,68,2,8,24
9,30,93,66,3,24,72
9,30,198,30,4,48,72
9,180,5,22,2,24,48
9,90,131,72,3,24,72
9,30,49,65,3,24,72
9,90,130,34,4,48,72
9,90,116,39,3,48,72
9,90,191,22,1,0,24
9,90,190,57,2,8,24
9,180,55,42,2,24,48
9,180,101,22,4,48,72
9,90,168,63,4,48,96
9,180,171,44,3,48,72
9,180,109,71,3,48,96
10,180,70,59,3,24,72
10,360,48,11,1,0,24
10,6,129,52,2,24,48
10,180,43,56,2,8,24
10,30,99,35,4,48,72
10,90,25,40,2,8,24
11,360,89,67,2,8,24
11,360,17,58,2,8,24
11,30,55,42,2,24,48
11,6,67,37,4,48,72
11,6,107,18,2,24,48
11,30,182,61,4,48,96
